エリア,酒蔵,ブランド,区分,公式URL,A中核銘柄数,B主要銘柄数,確認日
西条エリア7蔵,賀茂鶴酒造,賀茂鶴,主ブランド,https://www.kamotsuru.jp/,4,7,2026-09-06
西条エリア7蔵,賀茂鶴酒造,酒中在心,販路限定主要シリーズ,https://shop.kamotsuru.jp/SHOP/346441/346696/list.html,1,1,2026-09-06
西条エリア7蔵,白牡丹酒造,白牡丹,主ブランド,https://www.hakubotan.co.jp/products/,5,3,2026-09-06
西条エリア7蔵,白牡丹酒造,藝陽男山,別ブランド・生酛系,https://www.hakubotan.co.jp/products/,0,0,2026-09-06
西条エリア7蔵,西條鶴醸造,西條鶴,主ブランド,https://saijotsuru.co.jp/,5,1,2026-09-06
西条エリア7蔵,亀齢酒造,亀齢,主ブランド,https://kireikireikirei.jimdofree.com/,4,4,2026-09-06
西条エリア7蔵,亀齢酒造,亀齢萬年,主要シリーズブランド,https://kireikireikirei.jimdofree.com/,1,0,2026-09-06
西条エリア7蔵,福美人酒造,福美人,主ブランド,https://www.fukubijin.co.jp/product.html,5,1,2026-09-06
西条エリア7蔵,賀茂泉酒造,賀茂泉,主ブランド,https://www.kamoizumi.co.jp/sake/index.php,5,2,2026-09-06
西条エリア7蔵,賀茂泉酒造,ROCK HOPPER,現行生原酒シリーズ,https://www.kamoizumi.co.jp/sake/index.php,0,1,2026-09-06
西条エリア7蔵,賀茂泉酒造,COKUN,低アルコール系ブランド,https://www.kamoizumi.co.jp/sake/index.php,0,0,2026-09-06
西条エリア7蔵,山陽鶴酒造,山陽鶴,主ブランド,https://sanyotsuru.jp/,5,2,2026-09-06
安芸津・黒瀬エリア3蔵,金光酒造,賀茂金秀,主ブランド,https://www.kamokin.com/line_up/regular.html,6,0,2026-09-06
安芸津・黒瀬エリア3蔵,金光酒造,桜吹雪,別ブランド,https://www.kamokin.com/line_up/Limited/limited.html,0,1,2026-09-06
安芸津・黒瀬エリア3蔵,今田酒造本店,富久長,主ブランド,https://fukucho.jp/,5,2,2026-09-06
安芸津・黒瀬エリア3蔵,今田酒造本店,FUKUCHO LEGACY,海外・革新系シリーズ,https://fukucho.jp/collections/all,0,0,2026-09-06
安芸津・黒瀬エリア3蔵,柄酒造,9代目於多福,現行中心ブランド,https://www.tsukasyuzou.jp/collections/all,3,1,2026-09-06
安芸津・黒瀬エリア3蔵,柄酒造,於多福,従来主ブランド,https://www.tsukasyuzou.jp/collections/all,2,1,2026-09-06
