酒蔵,商品・系列,出典種別,URL,確認内容,確認日
賀茂鶴酒造,大吟醸 特製ゴールド賀茂鶴,公式,https://www.kamotsuru.jp/history/,1958年発売・1974年桜型金箔の端緒・1997年市販品採用・2014年首脳会食,2026-09-06
賀茂鶴酒造,純米吟醸 一滴入魂,公式,https://www.kamotsuru.jp/news/12061/,2014・2018ワイングラス金賞、2016燗酒最高金賞、2020年度ANA国際線採用,2026-09-06
賀茂鶴酒造,純米大吟醸 瑞兆賀茂鶴,公式,https://www.kamotsuru.jp/news/2874/,2010年4月12日販売開始・名誉杜氏の技を商品化,2026-09-06
白牡丹酒造,Paeon(ピオン),公式,https://www.hakubotan.co.jp/product-cat/new/,新シリーズ・2026ワイングラスアワード最高金賞,2026-09-06
白牡丹酒造,純米吟醸萌えいぶき,公式,https://www.hakubotan.co.jp/%E6%98%A5%E3%81%AE%E6%96%B0%E5%95%86%E5%93%81%E3%80%80%E7%AC%AC%E4%BA%8C%E5%BC%BE%E3%80%80%E7%B4%94%E7%B1%B3%E5%90%9F%E9%86%B8%E3%80%80%E8%90%8C%E3%81%88%E3%81%84%E3%81%B6%E3%81%8D/,2024年4月22日出荷開始・10年かけて開発された酒米萌えいぶきを使用,2026-09-06
白牡丹酒造,生酛純米酒 夏仕込み系列,公式,https://www.hakubotan.co.jp/news/page/2/,2023年夏に初の生酛純米を仕込み翌酒造期も継続,2026-09-06
賀茂泉酒造,朱泉本仕込,公式,https://kamoizumi.co.jp/about/index.html,1965年頃純米醸造へ回帰・1972年本仕込賀茂泉発売,2026-09-06
賀茂泉酒造,朱泉本仕込,公式,https://www.kamoizumi.co.jp/sake/index.php,現在の賀茂泉を代表する酒と明記,2026-09-06
今田酒造本店,八反草系列,公式,https://fukucho.jp/pages/philosophy,100年以上姿を消した八反草を2001年から復活栽培,2026-09-06
今田酒造本店,八反草 純米吟醸,公式,https://fukucho.jp/products/hattanso-junmaiginjo,復活栽培八反草を使う世界的人気のフラッグシップ,2026-09-06
今田酒造本店,八反草系列,公式,https://fukucho.jp/blogs/news/%E7%B4%94%E7%B1%B3%E5%A4%A7%E5%90%9F%E9%86%B8-%E6%96%B0%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%E3%81%A8%E3%83%A9%E3%82%A4%E3%83%B3%E3%83%8A%E3%83%83%E3%83%97%E6%96%B0%E6%A7%8B%E6%88%90%E3%81%AE%E3%81%94%E6%A1%88%E5%86%85,1990年代から八反草復活に取り組み2013年からハイブリッド酒母等へ展開,2026-09-06
西條鶴醸造,純米大吟醸原酒「神髄」,公式,https://saijotsuru.co.jp/?mode=f14,1999年より25年連続モンドセレクション金賞以上・2023年プレステージトロフィー,2026-09-06
柄酒造,9代目於多福 protos. 火入れ,公式,https://www.tsukasyuzou.jp/blogs/news/%E7%99%BA%E5%A3%B2%E3%81%AE%E3%81%8A%E3%81%97%E3%82%89%E3%81%9B-9%E4%BB%A3%E7%9B%AE%E6%96%BC%E5%A4%9A%E7%A6%8F-protos-%E7%81%AB%E5%85%A5%E3%82%8C,2026年7月22日発売・素数をテーマに設計,2026-09-06
柄酒造,9代目於多福 純米 つきあかり,公式,https://www.tsukasyuzou.jp/,2026年9月3日発売開始,2026-09-06
福美人酒造,大吟醸 西條酒造学校,公式,https://www.fukubijin.co.jp/corp.html,蔵が全国の杜氏から西條酒造学校と呼ばれた歴史を商品名に継承,2026-09-06
