source,酒蔵,候補名,日本酒度,飲用温度,精米歩合,ALC,補足,source_ref
sake_dataset,賀茂泉酒造,賀茂泉 造賀 純米生詰 ひやおろし,0.00,,65,15.00,純米,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 山吹色の酒,1.00,,60,15.00,純米吟醸,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 朱泉 本仕込,1.00,,58,16.00,純米吟醸,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 緑泉 本仕込,1.00,,60,15.00,純米吟醸,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 造賀,0.00,,65,15.00,純米,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 ＣＯＫＵＮ,-60.00,,70,8.00,純米,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 ＣＯＫＵＮ ＋,-60.00,,70,8.00,リキュール,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 純米吟醸 搾りたて生酒,-1.50,,58,15.00,純米吟醸,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 青泉 純米吟醸生酒,0.00,,58,15.00,純米吟醸,sake_dataset_v1.json
sake_dataset,賀茂泉酒造,賀茂泉 造賀 純米生酒,0.00,,65,15.00,純米,sake_dataset_v1.json
sake_suggest,賀茂泉酒造,賀茂泉 COKUN,,5-10℃,65,8,低アル純米,sake_suggest_ui_api_page_012.json
sake_suggest,亀齢酒造,亀齢萬年 純米吟醸 原酒 五拾,4,5-20℃,50,17,純米吟醸原酒,sake_suggest_ui_api_page_072.json
sake_suggest,亀齢酒造,亀齢萬年 特別純米 原酒 生酒,5,5-15℃,60,17,特別純米生原酒,sake_suggest_ui_api_page_072.json
sake_suggest,亀齢酒造,亀齢萬年 純米吟醸 無濾過生原酒,4,5-15℃,50,17,純吟生原酒,sake_suggest_ui_api_page_073.json
sake_suggest,亀齢酒造,亀齢萬年 純米大吟醸 原酒 純米酒 辛口 大吟醸 純米大吟醸,5,8-12℃,40,17,純米大吟醸原酒,sake_suggest_ui_api_page_074.json
sake_suggest,金光酒造,賀茂金秀 桜吹雪 純米大吟醸,2,8-15℃,40,16,純米大吟醸,sake_suggest_ui_api_page_084.json
sake_suggest,金光酒造,賀茂金秀 桜吹雪 特別純米 うすにごり生,2,5-12℃,60,16,特別純米生,sake_suggest_ui_api_page_085.json
