酒蔵,対象,出典種別,URL,確認内容,確認日
賀茂鶴酒造,蔵史・賀茂鶴銘柄史,公式,https://www.kamotsuru.jp/history/,1873年創業・命名、動力精米機、1918年法人化,2026-09-06
賀茂鶴酒造,酒中在心,公式,https://www.kamotsuru.jp/shuchuzaishin/,シリーズの理念、4商品、飲み頃温度,2026-09-06
白牡丹酒造,蔵史,公式,https://www.hakubotan.co.jp/about/,1675年創業、1839年命銘、沿革,2026-09-06
白牡丹酒造,白牡丹銘柄史,公式,https://www.hakubotan.co.jp/origin/,1839年に鷹司政通公から酒名を拝受,2026-09-06
白牡丹酒造,藝陽男山,公式,https://www.hakubotan.co.jp/product-cat/geiyootokoyama/,現行別銘柄、生酛・伝統技法,2026-09-06
西條鶴醸造,蔵史・銘柄史,公式,https://saijotsuru.co.jp/,1904年創業、名称由来、文化財,2026-09-06
亀齢酒造,蔵史,公式,https://kireikireikirei.jimdofree.com/会社概要/,1898年創業、屋号吉田屋、辛口方針,2026-09-06
亀齢酒造,亀齢銘柄史,公式,https://kireikireikirei.jimdofree.com/亀齢酒造-ホームページ/,吉田屋の酒から亀齢へ、名称由来,2026-09-06
福美人酒造,蔵史,公式,https://www.fukubijin.co.jp/corp.html,1917年創業、西條酒造学校,2026-09-06
福美人酒造,福美人銘柄史,公式,https://www.fukubijin.co.jp/SHOP/2020.html,名称の由来、味わいの方針,2026-09-06
賀茂泉酒造,蔵史・賀茂泉銘柄史,公式,https://kamoizumi.co.jp/about/index.html,1912年創業、名称由来、純米醸造への回帰,2026-09-06
賀茂泉酒造,COKUN,公式,https://www.kamoizumi.co.jp/sake/index.php,赤色発色酵母、低アルコール酒,2026-09-06
賀茂泉酒造,ROCK HOPPER,公式,https://online.kamoizumi.com/,現行夏酒、2026年Moon Walk発売,2026-09-06
山陽鶴酒造,蔵史・銘柄史,公式,https://sanyotsuru.jp/company,江戸後期創業、1912年創立、1949年社名変更,2026-09-06
今田酒造本店,蔵史・富久長銘柄史,公式,https://fukucho.jp/pages/company,1868年創業、1910年商標登録、輸出・杜氏就任,2026-09-06
今田酒造本店,FUKUCHO LEGACY,公式,https://fukucho.jp/collections/legacy,1989年醸造酒を用いるLEGACYシリーズ,2026-09-06
柄酒造,蔵史・於多福,公式,https://www.tsukasyuzou.jp/pages/about,1848年創業、於多福、1907年全国清酒品評会,2026-09-06
柄酒造,於多福名称背景・9代目,酒造組合,https://hirosake.or.jp/20260406-2/,於多福丸、米を福とする由来、9代目蔵元・杜氏,2026-09-06
柄酒造,9代目於多福,公式,https://www.tsukasyuzou.jp/,2026年現行ライン、新商品の発売,2026-09-06
金光酒造,蔵史・桜吹雪・賀茂金秀,公式,https://www.kamokin.com/about_us/company.html,1880年創業、桜吹雪、2003年賀茂金秀開始,2026-09-06
賀茂泉酒造,ROCK HOPPER飲用情報,日本名門酒会,https://www.meimonshu.jp/modules/sakemap3/index.php?lid=1863&page=sakedetail,冷酒・ロック、2026年出荷情報,2026-09-06
賀茂泉酒造,COKUN飲用・酒質情報,日本名門酒会,https://www.meimonshu.jp/modules/sakemap3/index.php?lid=295&page=sakedetail,低アルコール、甘酸味、料理相性,2026-09-06
柄酒造,9代目於多福 純米吟醸,公式,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米吟醸,一番人気、冷酒◎・常温○,2026-09-06
柄酒造,9代目於多福 純米,公式,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米,普段使い、冷酒◎・常温○,2026-09-06
柄酒造,9代目於多福 特別純米,公式,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-特別純米,最も辛口、冷酒◎・常温○,2026-09-06
柄酒造,9代目於多福 純米大吟醸,公式,https://www.tsukasyuzou.jp/products/火入れ-9代目於多福-純米大吟醸-720ml-1800ml,香り豊かな辛口、冷酒◎・常温○,2026-09-06
福美人酒造,福美人酒質,公式,https://www.fukubijin.co.jp/product.html,ふくらみとキレの蔵の酒質説明,2026-09-06
