酒蔵,酒蔵の歴史,歴史出典URL,確認日
賀茂鶴酒造,1873（明治6）年、木村和平が西条で木村酒造を創業し、同年「賀茂鶴」を命名。1898年には日本で最初の動力精米機を導入し、1918年に賀茂鶴酒造株式会社を設立した。精米・吟醸技術と全国展開を通じ、西条の近代酒造を牽引してきた。,https://www.kamotsuru.jp/history/,2026-09-06
白牡丹酒造,1675（延宝3）年、島六郎兵衛晴正が「嘉登屋」の屋号で酒造りを開始。1839年に鷹司政通公から「白牡丹」の酒名を賜り、1939年に白牡丹酒造株式会社を設立した。2024年には延宝蔵を含む西条酒造群が国史跡となり、2025年に創業350年を迎えた。,https://www.hakubotan.co.jp/about/,2026-09-06
西條鶴醸造,1904（明治37）年、伊野本市松が西条で創業し、地名「西條」とめでたい「鶴」を合わせて「西條鶴」と命名した。創業時からの酒蔵や母屋は2016年に国の登録有形文化財となり、歴史的な建物で地酒を醸し続けている。,https://saijotsuru.co.jp/,2026-09-06
亀齢酒造,公式会社概要では1898（明治31）年創業、屋号は「吉田屋」。明治期に親しまれた「吉田屋の酒」から「亀齢」へ名を改め、1939年に亀齢酒造株式会社を設立した。甘口が多い広島で、すっきり辛口を蔵の個性として守ってきた。,https://kireikireikirei.jimdofree.com/会社概要/,2026-09-06
福美人酒造,1917（大正6）年創業。早くから高い醸造技術で知られ、全国から酒造技術者が学びに訪れたことから「西條酒造学校」と呼ばれ、多くの杜氏育成に関わった。現在は恵比寿庫・大黒庫を擁し、伝統的な技術を継承している。,https://www.fukubijin.co.jp/corp.html,2026-09-06
賀茂泉酒造,1912（大正元）年、前垣寿一が前垣酒造場を創業。1965年頃から米と米こうじだけによる酒造りの復活に取り組み、1972年に「本仕込賀茂泉」を発売して純米醸造の先駆けとなった。,https://kamoizumi.co.jp/about/index.html,2026-09-06
山陽鶴酒造,創業は江戸後期。1912（大正元）年に本永本家として創立し、1949（昭和24）年に山陽鶴酒造株式会社へ社名変更した。西条の軟水と地域の食に寄り添う酒を掲げ、地酒としての味わいを守っている。,https://sanyotsuru.jp/company,2026-09-06
今田酒造本店,1868（明治元）年創業。1910年に「富久長」を商標登録し、1950年に株式会社化。1997年に香港・米国への輸出を始め、2000年に今田美穂が杜氏、2017年に代表取締役へ就任し、八反草など地域性の高い酒造りを発展させている。,https://fukucho.jp/pages/company,2026-09-06
柄酒造,1848（嘉永元）年、安芸津で槌屋忠左衛門が柄本家酒造場を創業し、創業銘柄「於多福」を醸し始めた。1907年の第1回全国清酒品評会では「於多福」が優等一位。現在は9代目蔵元・杜氏へ技術と蔵をつなぎ、伝統銘柄と新しい酒を並行して展開している。,https://www.tsukasyuzou.jp/pages/about,2026-09-06
金光酒造,1880（明治13）年創業。創業期から「桜吹雪」などを醸し、上位酒だった「桜吹雪」を主力化した。1994年に自動化を進めた後、2003年に社員蔵人による手造りへ回帰して新ブランド「賀茂金秀」を開始。2025年に株式会社金光酒造へ組織変更した。,https://www.kamokin.com/about_us/company.html,2026-09-06
