酒蔵,ブランド,銘柄の歴史,歴史出典URL,確認日
賀茂鶴酒造,賀茂鶴,1873（明治6）年9月9日に命名。「賀茂」は地名と「醸す」に通じ、「鶴」は気高い瑞鳥を表し、品質日本一を目指す志を込めた。創業時から続く蔵の中核銘柄である。,https://www.kamotsuru.jp/history/,2026-09-06
賀茂鶴酒造,酒中在心,賀茂鶴で長年受け継がれてきた「酒の中に心あり」という言葉をコンセプトに、創業150周年期に展開されたシリーズ。鶯・橙・藍・茜の4種で、米や製法の個性と造り手の思いを表現している。,https://www.kamotsuru.jp/shuchuzaishin/,2026-09-06
白牡丹酒造,白牡丹,1839（天保10）年、献上酒を評価した関白・鷹司政通公から、鷹司家の家紋「牡丹」にちなむ「白牡丹」の酒名を賜った。以来、蔵を代表する酒銘として受け継がれている。,https://www.hakubotan.co.jp/origin/,2026-09-06
白牡丹酒造,藝陽男山,白牡丹酒造が現在展開する別銘柄。現行ラインでは、生酛・蓋麹法・木桶での酛摺りなど昔ながらの技法を前面に出した純米酒を展開している。成立年は公式公開情報では特定できない。,https://www.hakubotan.co.jp/product-cat/geiyootokoyama/,2026-09-06
西條鶴醸造,西條鶴,1904（明治37）年の創業時、伊野本市松が地名「西條」と、めでたい象徴である「鶴」を合わせて命名。創業から現在まで蔵の主銘柄として継承されている。,https://saijotsuru.co.jp/,2026-09-06
亀齢酒造,亀齢,古くは「吉田屋の酒」として親しまれ、明治期に当主・石井幸太郎が「鶴は千年、亀は万年」の言葉にちなみ、長命と永遠の繁栄を願って「亀齢」と命名した。,https://kireikireikirei.jimdofree.com/亀齢酒造-ホームページ/,2026-09-06
亀齢酒造,亀齢萬年,「亀齢」の長寿・繁栄のイメージを受け継ぐ派生銘柄として、山田錦や純米大吟醸原酒などの限定・生酒を中心に現行流通している。成立年は公式公開情報では確認できない。,https://kireikireikirei.jimdofree.com/亀齢酒造-ホームページ/,2026-09-06
福美人酒造,福美人,蔵の公式直売ページでは、旧地名「福神」と「美人のようにふくよかで、やさしく穏やかな味」を目指したことが名の由来と説明される。1917年の創業以来、蔵の主銘柄として続いている。,https://www.fukubijin.co.jp/SHOP/2020.html,2026-09-06
賀茂泉酒造,賀茂泉,1912年の創業時、地名「賀茂」と、蔵所有の山林にある名水「茗荷清水」の「泉」を合わせて命名。1965年頃から純米醸造へ回帰し、1972年の「本仕込賀茂泉」発売以降、純米酒の看板銘柄として定着した。,https://kamoizumi.co.jp/about/index.html,2026-09-06
賀茂泉酒造,COKUN,赤色発色酵母の自然な働きでピンク色に仕上げる低アルコール酒として展開される現代的な銘柄。「コクン」と飲む軽やかなイメージの名称で、通常の清酒とは異なる甘酸っぱい味わいを打ち出している。成立年は公式公開情報では特定できない。,https://www.kamoizumi.co.jp/sake/index.php,2026-09-06
賀茂泉酒造,ROCK HOPPER,イワトビペンギンをモチーフにした季節系の生原酒シリーズ。夏向けの純米吟醸生原酒として展開され、2026年には秋酒「Moon Walk」も加わった。シリーズの初出年は公式公開情報では確認できない。,https://online.kamoizumi.com/,2026-09-06
山陽鶴酒造,山陽鶴,山陽鶴酒造の主銘柄。蔵は江戸後期創業で、1912年に本永本家として創立、1949年に現社名へ変更した。銘柄自体の初出年は公開情報で特定できないが、現在も蔵の代表酒として大吟醸・純米吟醸・本醸造・上撰・にごり酒などを展開している。,https://sanyotsuru.jp/company,2026-09-06
今田酒造本店,富久長,今田酒造本店の主銘柄で、1910年に商標登録。戦後の法人化、1997年の海外輸出開始を経て、現在は広島在来の酒米「八反草」や瀬戸内の食文化を軸に、CLASSICS・INNOVATION・SEASONALなど複数のラインを展開している。,https://fukucho.jp/pages/company,2026-09-06
今田酒造本店,FUKUCHO LEGACY,先代杜氏が残した1989年醸造の大吟醸雫酒を長期冷蔵熟成し、現代の富久長の仕込みへつなぐシリーズ。LEGACY I・IIは、その熟成酒を仕込み水の代わりに使う貴醸酒として、過去の技術と現在の造りを結びつけている。,https://fukucho.jp/collections/legacy,2026-09-06
柄酒造,於多福,1848（嘉永元）年の創業時から続く柄酒造の銘柄。1907年の第1回全国清酒品評会で優等一位を受賞し、安芸津の地酒として受け継がれてきた。広島県酒造組合の紹介では、創業家の船「於多福丸」と「米を福ととらえる思い」が名の背景とされる。,https://www.tsukasyuzou.jp/pages/about,2026-09-06
柄酒造,9代目於多福,9代目蔵元・杜氏の柄総一郎が担う現行ラインで、創業銘柄「於多福」の名を継ぎながら、新しい設計の酒を展開するシリーズ。2026年には素数をテーマにした「protos.」や季節酒「つきあかり」などを発売している。,https://www.tsukasyuzou.jp/,2026-09-06
金光酒造,桜吹雪,1880年の創業当時から使われた銘柄の一つで、当時の上位酒だった「桜吹雪」を主力ブランドとして育てた。2003年に「賀茂金秀」が始まった後も、季節商品などで銘柄が受け継がれている。,https://www.kamokin.com/about_us/company.html,2026-09-06
金光酒造,賀茂金秀,1994年の自動化を経て、個性ある酒造りへ戻るため2003年に社員蔵人による手造りへ転換した際に立ち上げたブランド。考えを共有する酒販店との直取引から全国出荷を始め、現在の金光酒造の中心銘柄となった。,https://www.kamokin.com/about_us/company.html,2026-09-06
